,user_id,movie_id,rating,timestamp,gender,age,occupation,zip,title,genres,for_testing
559163,5675,3448,4,958690943,M,35,14,30030,"Good Morning, Vietnam (1987)",Comedy|Drama|War,False
884149,4958,534,1,1044646551,M,18,7,55403,Shadowlands (1993),Drama|Romance,False
877040,1112,1752,1,974946413,M,18,6,19104,Hard Rain (1998),Action|Thriller,False
62563,3576,2194,3,966719873,M,50,7,68046,"Untouchables, The (1987)",Action|Crime|Drama,False
252478,4867,52,4,962816553,M,25,16,04101,Mighty Aphrodite (1995),Comedy,False
55435,678,3114,5,975608685,M,25,0,34952,Toy Story 2 (1999),Animation|Children's|Comedy,False
235486,719,3793,3,975527835,M,1,0,75070,X-Men (2000),Action|Sci-Fi,False
858969,550,3758,2,976162644,M,45,8,21559,Communion (1989),Drama|Sci-Fi|Thriller,False
253929,5738,3081,3,958416386,M,25,12,55406,Sleepy Hollow (1999),Horror|Romance,False
154876,5927,21,3,957283576,M,35,14,10003,Get Shorty (1995),Action|Comedy|Drama,False
800444,2484,1208,3,974145484,M,45,5,31901,Apocalypse Now (1979),Drama|War,False
520370,4335,1135,3,965339379,M,35,0,74011,Private Benjamin (1980),Comedy,False
851408,1015,779,2,979454293,M,35,3,11220,'Til There Was You (1997),Drama|Romance,False
294223,5000,551,5,962596437,M,25,4,46254,"Nightmare Before Christmas, The (1993)",Children's|Comedy|Musical,False
971263,5663,2514,3,958770237,F,35,20,75093,Pet Sematary II (1992),Horror,False
808455,3808,1297,3,965965634,M,25,7,60010,Real Genius (1985),Comedy,False
143534,2959,1917,4,971138032,M,35,17,06074,Armageddon (1998),Action|Adventure|Sci-Fi|Thriller,False
470733,5831,2316,3,957889938,M,25,1,92120,Practical Magic (1998),Drama|Romance,False
131283,5924,1196,5,957284509,M,35,0,55417,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Drama|Sci-Fi|War,False
446531,3709,671,3,966275844,M,25,12,89502,Mystery Science Theater 3000: The Movie (1996),Comedy|Sci-Fi,False
573747,411,3897,4,997065250,F,45,1,43214,Almost Famous (2000),Comedy|Drama,False
34901,5163,1566,4,961904014,M,45,6,53216,Hercules (1997),Adventure|Animation|Children's|Comedy|Musical,False
898360,531,281,2,978972518,F,18,14,22206,Nobody's Fool (1994),Drama,False
708129,3579,3268,3,966711531,M,18,0,32219,Stop! Or My Mom Will Shoot (1992),Action|Comedy,False
570166,1228,3182,3,975353311,M,25,1,94720,Mr. Death: The Rise and Fall of Fred A. Leuchter Jr. (1999),Documentary,False
286641,692,908,5,975739542,F,25,0,85207,North by Northwest (1959),Drama|Thriller,False
322675,5664,357,4,958766867,M,18,4,48363,Four Weddings and a Funeral (1994),Comedy|Romance,False
473146,563,1374,5,976045658,M,25,4,53703,Star Trek: The Wrath of Khan (1982),Action|Adventure|Sci-Fi,False
813253,1265,28,4,1006884727,F,18,20,49321,Persuasion (1995),Romance,False
907476,5638,2147,3,958966133,M,18,1,32601,"Clan of the Cave Bear, The (1986)",Drama,False
90573,5029,3147,4,962565504,M,25,4,70115,"Green Mile, The (1999)",Drama|Thriller,False
131907,3513,1552,3,966975273,M,25,16,01890,Con Air (1997),Action|Adventure|Thriller,False
188018,709,3868,4,975541005,M,18,0,92647,"Naked Gun: From the Files of Police Squad!, The (1988)",Comedy,False
850414,4725,2540,3,963369546,M,35,5,96707-1321,"Corruptor, The (1999)",Action|Crime|Drama|Thriller,False
692600,731,2574,3,975530273,M,45,3,55410,"Out-of-Towners, The (1999)",Comedy,False
971727,2996,1866,1,972617846,M,18,0,63011,"Big Hit, The (1998)",Action|Comedy,False
198507,5700,1049,5,958588548,F,18,14,55426,"Ghost and the Darkness, The (1996)",Action|Adventure,False
290400,2781,3476,4,989598290,M,35,4,45205,Jacob's Ladder (1990),Horror|Mystery|Thriller,False
62855,5077,2194,5,963203922,M,25,2,20037,"Untouchables, The (1987)",Action|Crime|Drama,False
305822,2075,2683,4,974657232,F,25,4,13210,Austin Powers: The Spy Who Shagged Me (1999),Comedy,False
122218,457,1370,4,976231463,M,18,4,54703,Die Hard 2 (1990),Action|Thriller,False
777339,5653,350,3,958970920,M,50,1,74105,"Client, The (1994)",Drama|Mystery|Thriller,False
673387,3979,1033,5,965628068,F,50,9,59072,"Fox and the Hound, The (1981)",Animation|Children's,False
877065,1793,1752,1,974761893,M,25,4,20008,Hard Rain (1998),Action|Thriller,False
202398,4682,1378,2,965532329,M,25,7,05346,Young Guns (1988),Action|Comedy|Western,False
862314,1370,1984,1,974795485,M,35,2,92821,Halloween III: Season of the Witch (1983),Horror,False
105226,4104,1690,3,965409264,M,18,16,42141,Alien: Resurrection (1997),Action|Horror|Sci-Fi,False
161978,1321,1096,4,974777878,F,25,14,34639,Sophie's Choice (1982),Drama,False
928456,146,3054,2,980452460,F,35,20,10954,Pokémon: The First Movie (1998),Animation|Children's,False
183351,5779,3421,5,958156856,M,25,5,10011,Animal House (1978),Comedy,False
464015,1137,904,5,974876859,M,18,4,13165,Rear Window (1954),Mystery|Thriller,False
698922,3518,3082,5,966958726,F,18,7,11215,"World Is Not Enough, The (1999)",Action|Thriller,False
341826,3808,1088,2,965970918,M,25,7,60010,Dirty Dancing (1987),Musical|Romance,False
265076,4808,3016,3,962950699,M,35,0,96707-1321,Creepshow (1982),Horror,False
80243,2656,2126,4,973527510,M,56,13,32837,Snake Eyes (1998),Action|Crime|Mystery|Thriller,False
587913,5111,2572,3,962331065,M,35,2,78006,10 Things I Hate About You (1999),Comedy|Romance,False
861944,770,2846,3,975491263,M,18,4,98499,"Adventures of Milo and Otis, The (1986)",Children's,False
383312,1789,2688,3,974700725,M,1,10,19116,"General's Daughter, The (1999)",Drama|Thriller,False
999518,3884,864,2,965813922,M,18,4,78759,"Wife, The (1995)",Comedy|Drama,False
902134,1851,3918,3,977346914,M,25,19,59602,Hellbound: Hellraiser II (1988),Horror,False
31659,1926,1721,5,974771424,F,1,0,95404,Titanic (1997),Drama|Romance,False
340333,1671,17,4,974774787,M,35,0,98368,Sense and Sensibility (1995),Drama|Romance,False
574435,3074,3897,5,990069135,M,25,0,23451,Almost Famous (2000),Comedy|Drama,False
360049,5493,1476,3,959813498,M,35,12,96797,Private Parts (1997),Comedy|Drama,False
577414,4213,1262,5,965842037,M,35,7,63125,"Great Escape, The (1963)",Adventure|War,False
259782,3142,2716,3,968990474,M,25,20,85719,Ghostbusters (1984),Comedy|Horror,False
501279,1293,953,2,974788970,M,25,5,60074,It's a Wonderful Life (1946),Drama,False
529420,5492,2012,4,996708903,M,18,4,55104,Back to the Future Part III (1990),Comedy|Sci-Fi|Western,False
312154,996,1095,4,977645887,M,25,17,98102,Glengarry Glen Ross (1992),Drama,False
371032,1016,1711,4,975011462,M,56,16,60044,Midnight in the Garden of Good and Evil (1997),Comedy|Crime|Drama|Mystery,False
720958,3476,799,1,968952428,M,50,0,44126,"Frighteners, The (1996)",Comedy|Horror,False
780467,5971,2779,4,957289238,M,35,7,49504,Heaven Can Wait (1978),Comedy,False
44332,2862,1961,5,972502971,M,45,7,55066,Rain Man (1988),Drama,False
569049,587,441,4,975946673,M,25,20,92649,Dazed and Confused (1993),Comedy,False
591264,5837,1982,4,1011902477,M,25,7,60607,Halloween (1978),Horror,False
479673,1748,3629,5,974710043,M,50,1,04240,"Gold Rush, The (1925)",Comedy,False
854730,40,897,4,978041189,M,45,0,10543,For Whom the Bell Tolls (1943),Adventure|War,False
960925,408,1111,5,976293983,M,25,11,02143,Microcosmos (Microcosmos: Le peuple de l'herbe) (1996),Documentary,False
989199,4116,2903,2,966916499,M,35,7,07040,Psycho III (1986),Horror|Thriller,False
316682,1835,353,4,974881828,M,25,19,11501,"Crow, The (1994)",Action|Romance|Thriller,False
573401,4447,3362,4,965172378,M,45,5,32953,Dog Day Afternoon (1975),Comedy|Crime|Drama,False
957060,3618,574,3,967117562,M,56,17,22657,Spanking the Monkey (1994),Comedy|Drama,False
730319,1124,1249,3,974909446,M,25,2,60156,Nikita (La Femme Nikita) (1990),Thriller,False
874578,2071,836,3,974946218,M,45,7,01605,Chain Reaction (1996),Action|Adventure|Thriller,False
990644,1591,1362,5,974750554,M,50,7,26501,"Garden of Finzi-Contini, The (Giardino dei Finzi-Contini, Il) (1970)",Drama,False
118848,5199,480,4,961652971,F,25,1,35243,Jurassic Park (1993),Action|Adventure|Sci-Fi,False
43318,4954,1,4,962638088,M,45,0,92679,Toy Story (1995),Animation|Children's|Comedy,False
194717,604,2167,3,975872288,M,45,17,32256,Blade (1998),Action|Adventure|Horror,False
994847,1470,3892,1,974836338,M,18,4,94118,Anatomy (Anatomie) (2000),Horror,False
